9
3
0 0 3,4500000000E+002
0 1 2,6100000000E+002
0 2 7,5900000000E+002
1 0 5,2700000000E+002
1 1 2,1200000000E+002
1 2 5,8100000000E+002
2 0 2,0500000000E+002
2 1 7,8900000000E+002
2 2 4,6300000000E+002
3 0 2,3600000000E+002
3 1 5,8000000000E+001
3 2 2,9400000000E+002
4 0 2,4700000000E+002
4 1 6,4200000000E+002
4 2 1,7600000000E+002
5 0 6,8100000000E+002
5 1 4,5600000000E+002
5 2 7,1500000000E+002
6 0 2,5300000000E+002
6 1 7,8000000000E+001
6 2 1,8800000000E+002
7 0 3,8700000000E+002
7 1 8,0600000000E+002
7 2 9,9700000000E+002
8 0 8,8900000000E+002
8 1 2,1000000000E+001
8 2 4,5000000000E+001
