6
5
0 0 3,9000000000E+002
0 1 8,4800000000E+002
0 2 1,5700000000E+002
0 3 9,5400000000E+002
0 4 1,1500000000E+002
1 0 3,2900000000E+002
1 1 1,0100000000E+002
1 2 7,9200000000E+002
1 3 7,1000000000E+002
1 4 9,7300000000E+002
2 0 5,3100000000E+002
2 1 8,5500000000E+002
2 2 6,2200000000E+002
2 3 6,8200000000E+002
2 4 5,7600000000E+002
3 0 9,3000000000E+002
3 1 2,9700000000E+002
3 2 9,5500000000E+002
3 3 3,0700000000E+002
3 4 8,5300000000E+002
4 0 4,5300000000E+002
4 1 8,7800000000E+002
4 2 1,4400000000E+002
4 3 6,9600000000E+002
4 4 8,5000000000E+001
5 0 3,0800000000E+002
5 1 7,6500000000E+002
5 2 5,6600000000E+002
5 3 9,9900000000E+002
5 4 5,9500000000E+002
